partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
4. Independent,449049,4. Moderate; middle of the road,50,"diversity, equal rights",NA,national security,diversity and equal rights,coronavirus pandemic
1. Strong Democrat,449063,4. Moderate; middle of the road,34,I feel like Joe Biden has a strong plan on the pandemic and also on how to make the economy better and these are the 2 points why I want to vote for Joe Biden.,NA,NA,I feel like our president has not done too much for the pandemic and it is getting worse today as far as the cases wise he is just not meeting my expectation with the pandemic and this is one of the reasons why I am against him.,RIGHT NOW THE PANDEMIC WOULD BE THE BIGGEST PROBLEM-I FEEL LIKE THE PANDEMIC IS HOLDING THE ECONOMY BACK AND ITS CAUSING A LOT OF DEATHS//
4. Independent,449100,4. Moderate; middle of the road,35,NA,"He doesn't support medicare for all and has made no clear intention to cancel student loan debt. Also, he seems like just another rich person that has put his family's interests before US citizens. The allegations of sexual assault (and no acknowledgment of them) and his general behavior when coming in contact with another person are offputting.",NA,"I don't think he speaks for all Americans, as a man and a human I think he has poor morals and I believe he cares more about the advancement of his family than the United States and it's citizens. He has a clear admiration for communist leaders which is concerning and jokes too often about taking power and actions like a dictator.","Student and Medical debt and the continuous rising cost of both of those as well as the cost of living, particularly housing and the minimum wage never rising to meet the inflation of everything listed. I do not believe the police should be defunded but I think if a portion of their budget was redirected to mental health and education, everyone's lives (including the police) would be easier. Also, our 2 party system has done nothing but divide the nation on a moral level for decades and they need to get back to focusing on the success of the nation and not only their side winning and when they don't, coaxing their supporters into the streets to battle for them."
7. Strong Republican,449117,6. Conservative,42,NA,Extremely liberal agenda; unqualified physically to be president.,Conservative Principles,NA,Socialism taking away from from the fundanentals of the founding of this country.
7. Strong Republican,449131,5. Slightly conservative,-9. Refused,NA,NA,"Economy, military, VA, not a politician, handling of corona virus",NA,National security
7. Strong Republican,449148,7. Extremely conservative,28,He is not Donald Trump. He also not as leftist as Bernie Sanders.,His 401K plan isn't great and I don't like his policies.,Family pressure and his Court picks,"The fact he is a vile human who tears down norms, rude, and doesn't respect the constitution.","The biggest problem is the decline of good governance, and the decline of the moral fabric."
4. Independent,449162,4. Moderate; middle of the road,33,"Decent, civil personHas managed not to be pulled too far left (Bernie, Warren, ""woke"" mob) from a social and economic perspectiveCares about the environmentCares about the American worker and blue collar jobs","Being pulled too far left by the ""woke mob""Influence of MMT economistsToo much focus on race, not enough focus on pulling people out of poverty / closing the wealth gap",tough stance on Chinare-shoring of production to create middle class jobsforcing NATO members to pay their fair share,he's morally bankrupthe's corrupthe only cares about himself,Wealth inequality
7. Strong Republican,449179,99. Haven't thought much about this,75,NA,dementia doesn’t know where he is or where he’s been. totally unworthy candidate for president of the United States,strong politics,NA,NA
3. Independent-Democrat,449193,4. Moderate; middle of the road,40,NA,only if he started being a racist bigot,NA,"hes racist, homophobic, bigot",health care for all people
3. Independent-Democrat,449230,2. Liberal,61,"i feel that he is honest, compassionate, and wants to unify the country.",NA,NA,NA,Unifying a very divided country.
3. Independent-Democrat,449247,3. Slightly liberal,32,NA,NA,NA,He is not fit to be a president of this great country,corruption
2. Not very strong Democrat,449254,4. Moderate; middle of the road,42,The fact that he is not Trump. That is it. I find nothing else that's good about him.,"Lack of leadership, senility.",NA,NA,NA
6. Not very strong Republican,449261,99. Haven't thought much about this,34,NA,NA,NA,NA,coronavirus i feel like is hurting the work industry
3. Independent-Democrat,449308,4. Moderate; middle of the road,49,Joe Biden is not Donald Trump!!!!,NA,NA,He is a liar and is only acting on his self interests.  It seems he is not interested in being a president of the United States.  He is only interested in promoting his name and business.  He lacks leadership to lead and unite this country!,NA
6. Not very strong Republican,449391,4. Moderate; middle of the road,64,He seems very focused on the current needs facing working families...,I disagree that illegal immigrants should be given amnesty and regarded as citizens..so that they are capable of qualifying for Social Security and Medicare.,NA,His lack of Leadership.. lack of knowledge about important current issues......,NA
3. Independent-Democrat,449407,3. Slightly liberal,38,NA,NA,NA,The fact that this country has endured a great amount of suffering and outrage since he took office.,Racism and Finances
4. Independent,449445,99. Haven't thought much about this,65,NA,NA,NA,he treats the presidency like his TV show...your fire! stays on TWITTER far to much,NA
1. Strong Democrat,449476,1. Extremely liberal,36,NA,NA,NA,NA,climate control
4. Independent,449506,4. Moderate; middle of the road,66,NA,NA,NA,mentally unstable. full of hate. embarrassment to our country.,hatred and distrust brought about by Trump administration
7. Strong Republican,449537,7. Extremely conservative,71,NA,"he is ignorant, he is a has been",the border wall,NA,racism and voter trust
1. Strong Democrat,449568,2. Liberal,32,"I will vote for Joe because of his policies, including fighting climate change, raising the minimum wage, taxing the ultrawealthy, and leveling the playing field as much as possible.","He doesn't support medicare for all or defunding the police, two things that are really important to me.",NA,I will vote against him because of his harmful and hateful policies and his lies.,The biggest problem facing the US right now is our handling of the COVID-19 pandemic. We've allowed the virus to run rampant rather than invest in our people so that we can stay home where possible or work outside the home safely in essential industries.
5. Independent-Republican,449575,99. Haven't thought much about this,65,NA,He is a puppet for his party.,I like what he has already accomplished as President,NA,"listening to what the people want, not what the politicians agenda is. There should be term limits, no life time politicians."
7. Strong Republican,449605,7. Extremely conservative,54,NA,He ser.s vonfused egen speaking.,He is making America great again and has.,NA,we need to open up!  kids need to be back in school.
5. Independent-Republican,449636,5. Slightly conservative,51,NA,NA,NA,NA,Global pandemic
1. Strong Democrat,449643,99. Haven't thought much about this,38,He is not Donald Trump,NA,NA,Donald Trump has mishandled the Covid 19 pandemic. Trump has also mishandled the black community up  roar with blm and healthcare.,covid and police brutality
1. Strong Democrat,449650,4. Moderate; middle of the road,-9. Refused,He is qualified for the position of President.,NA,NA,"I didn't vote for him in 2016, and I won't vote for him in 2020.",HealthcareSocial Security
5. Independent-Republican,449667,6. Conservative,44,NA,I just like how Trump has done so I would like to have him instead of Old Sleepy Joe,He has been good with business endeavors for our country.,NA,social issues such as black lives matter and the issues involving wearing a mask. plus unemployment
1. Strong Democrat,449681,99. Haven't thought much about this,60,NA,NA,NA,Don't like him as our president.,Covid 19 is upended Life's along with the lost of jobs
5. Independent-Republican,449773,4. Moderate; middle of the road,46,"He is empathetic, he surrounds himself with decent people, he listens to scientists and doctors, he has a voice of reason","his age, which makes him out of touch of many younger Americans",NA,"He is not a leader, he induces fear in people, he is narcissistic and unable to work well with others.",Covid-19 and the non-reaction our government has had towards keeping people safe
3. Independent-Democrat,449834,4. Moderate; middle of the road,72,"Excellent experience in government both foreign and domestic, agree with him on most issues, and he is a person of high character and morals",NA,NA,"He has no integrity, has mishandled national response to COVID-19, does not work hard, is ill prepared for decision-making, and lacks the character and temperament to be President.",COVID-19 pandemic
1. Strong Democrat,449858,2. Liberal,22,"As a student, I believe the idea of making a 2 year community college tuition free would be extremely helpful in getting a job in the adult life. Also, I'm really big on climate change. Though, I think switching to a 100% clean would be impossible. I believe that it doesn't hurt to try.",NA,NA,I ultimately think that Donald Trump would be unfit to remain as President for the next four years. I believe that the current pandemic could've been significantly handled better. The fact that There was the foreign interference with the 2016 election and that he is still is a suspect that he was never cleared of. The fact that there are children in cages at the border which is inhumane which is an unnecessary problem that has yet to be dealt with. The unfinished border wall I believe was a waste of money allocation simply because the cost of building it is just astronomical.,"Extreme Political Polarization, I believe is one of the more important problems that the United States is currently facing especially with how the previous Presidential Administration had handled things. This problem is the ""Elephant in the Room"" type of situation where everybody knows it exists but nobody wants to admit. The political gap between the two parties have been increasing ever so slightly to the point where both sides are willing to ignore their own faults albeit corruption, weak policies or even just scandals/controversies. I also believe that because the political gap is widening that this will lead to more and more extremists that are willing to go through with domestic terrorism on both sides. Regardless, I think this should be talked about despite people not wanting to hear about it and be made in attempts to fix this ever growing problem."
7. Strong Republican,449865,6. Conservative,69,NA,"He spent 40+ years in government with little to show for his time.  I feel he is a ""puppet"" of the progressives and will not be making any decisions.",His record stands for itself.  He's kept most of his promises to help the American people.  He doesn't take crap from the media or the dems.,NA,Covid19 is the most problematic.  Division is a close second.  It saddens me that so many people hate our country.
1. Strong Democrat,449889,2. Liberal,74,"Experience, and integrity.",His position on health care.,NA,"He lies, and spreads hate and division.  His support of the far right because ""they like me"" is disgusting.  He's a denier and this stance has resulted in people dying.  The climate, the environment, OSHA, the post office, etc.",income disparity
1. Strong Democrat,449902,4. Moderate; middle of the road,73,Democrat,He is a Democrat.  He is interested in preserving Social Security. He is concerned about global warning.  He will be a MUCH better leader than Trump. And he has Kamala Harris for Vice President,NA,"He is  liar and very dishonest.  He is a disgrace and an embarrassment.  I do not trust that his interest is for the American people but rather only for himself,  I do not trust one single thing  that ever comes outof his mouth.",coronavirus and people refusing to wear masks
1. Strong Democrat,449926,4. Moderate; middle of the road,77,his experience and his character,NA,NA,the way he says things that arent true. the language he uses.,the virus and police handling racial tension.
1. Strong Democrat,449957,99. Haven't thought much about this,73,"Honesty, Integrity",NA,NA,Lies every time he opens his mouth!,Pandemic needs more attention than Trump has done
2. Not very strong Democrat,449971,1. Extremely liberal,51,"Experience. He has fought on the progressive side of many battles in the Senate, including for racial equality. He's willing to admit mistakes and make changes when new information comes to light. He's trustworthy. He respects human dignity.",NA,NA,"He's been impeached, he's racist, a sexual predator, a liar, a narcissist, bad for the environment, bad for education, anti-immigrant, an all-around global embarrassment.",Education: critical thinking
7. Strong Republican,449995,6. Conservative,59,NA,"Mentally he is not fit because of his declining health, Memory and His Age.",He has done what he promised. He comes from a Business background and I had my doubts but very quickly learned that he is our guy. The Best President we have ever had.,NA,corruption of our civil right of voting
7. Strong Republican,450018,6. Conservative,70,NA,47 years of lying and corruption,he says what we sll want to say but dont.,NA,BidenHarris - lack of intelligence.  puppets
7. Strong Republican,450025,6. Conservative,53,NA,He supports abortion even though he is of the Catholic faith as am I.  I feel this reflects on his bad moral character and I cannot support him.  I simply cannot support most of the policies of the Democratic party.,I think he gets things done and truly cares about Americans.,He can be an ass.,Covid19 and people not taking it seriously.
2. Not very strong Democrat,450094,4. Moderate; middle of the road,75,Es la persona con menos deficiencias,En el pasado no lograron hacer grandes cosas.,NA,No es la persona indicada para dirigir un país cono los estados unidos,La Pandemia afecte la sulud y la economia
7. Strong Republican,450124,6. Conservative,50,NA,He's a liar and a thief!,He's been a great president even though everyone else has done nothing but bash him in the media and every otger way they can.,NA,low income vs cost of living
4. Independent,450131,3. Slightly liberal,80. Age 80 or older,He is a seasoned politician and served as Vice President.  He has much more experience in dealing with other countries and judicial issues.,NA,NA,He ignores the Constitution and acts too quickly in making statements and decisions.,Race relations will be one of the biggest problems to face this country. Major efforts need to be made to convince people that all are equal and should be treated as such.  All law enforcement agencies should be educated with this in mind.
7. Strong Republican,450148,5. Slightly conservative,43,NA,NA,HIS PROVEN TRACK RECORD FOR ECONOMIC ADVANCEMENT OF OUR COUNTRY,HIS HARSH COMMENTS,NA
1. Strong Democrat,450186,2. Liberal,80. Age 80 or older,"Experience,work ethics and empathy.",NA,NA,Not qualified for office,Covid'19 Pandemic
6. Not very strong Republican,450223,5. Slightly conservative,80. Age 80 or older,"He seems to be honest and to my knowledge has not lied to the public. Hopefullly, he will not tweet every thought that comes into his head.",NA,NA,He is always trying to be the center of attention. The truth doesn't matter if he gets his way.,Covid-19 pandemic
3. Independent-Democrat,450230,3. Slightly liberal,34,NA,NA,NA,Lacking response to COVID-19 and race relations.,"COVID, issues with race."
1. Strong Democrat,450339,2. Liberal,67,"He understands how the world and nations work. He has a reputation for bipartisan coalitions on legislation. Is compassionate, and is a decent person, has proven experience to lead, and will respect scientists, in dealing with Covid, unlike Trump",NA,NA,"extreme policies, lack of leadership,alienates rest of democratic nations, has no manners, is an angry troubled man, dangerous in his lack of politcal knowledge as well as no concern for our planet in caring for it. is making money from his business interests , while in office, is corrupt, and seems to have a link with Putin",the sanctity of saving our democracy
1. Strong Democrat,450346,2. Liberal,57,He is trustworthy and has always worked hard for the American people regardless of race or gender since he was young.,NA,NA,He is not trustworthy.  He reminds me of Hitler.,Right now the country is divided.  That is a major problem.
7. Strong Republican,450353,6. Conservative,64,NA,Disagree with what he proposes in most areas and disagree with democratic platform as presented in their document.  Most concerned with significantly worse economy under Biden and less safe streets and communities across the country--deterioration of the country.,Support of law enforcement resulting in safer communities; carries out what he promised; strong economy before pandemic; makes entities pay up what they owe; tarrifs.,NA,NA
1. Strong Democrat,450360,3. Slightly liberal,51,The compassion and integrity that he has for the people of this country,NA,NA,The inability to take responsibility for anything that happens negatively,"The Pandemic is the most important problem in the country currently as it is and has lead to many more issues including the down economy, people losing their jobs, businesses closing, people dying."
6. Not very strong Republican,450469,4. Moderate; middle of the road,56,NA,I think he is dishonest. He makes too many errors while speaking; if he believed what he said he would have to correct himself less.,NA,I think he is mishandling the race issues in this country and making tensions worse.,covid and economic recovery
7. Strong Republican,450506,6. Conservative,42,NA,He is a democrat who wants to raise our taxes and open the borders. He wants socialism.,"Pro-life, border control, supports businesses, keeps America safe, doesn't make bad deals with other countries.",NA,"political divide, financial crisis, immigration, war on life, sanctity of marriage, saving the family, religious freedom"
2. Not very strong Democrat,450537,2. Liberal,-9. Refused,NA,NA,NA,"Everything about him. He is the devil in the flesh. Completely trashing our country, trying his hardest to eliminate women's rights and cause havoc on a daily basis. He has brought hatred and racism into the most prestigious position anyone can have in this country. I don't care if a cat was running for president against Donald Trump, I would vote for anything or anyone other than Donald Trump.",Trump extremists.
4. Independent,450599,99. Haven't thought much about this,74,he is running against Donald thrump,NA,NA,"I feel that he is a racist, lying individual","honesty,looking out for oneself, not thinking of the effect on other people"
3. Independent-Democrat,450650,3. Slightly liberal,66,HE'S HONEST//,HIS AGE AND HES NOT A WELL SPOKEN GUY//,NA,"THE KIDS IN JAIL DOWN BY THE BORDER, GIVING BIG CORPORATIONS HUGE TAX BREAKS HES OUT FOR THE RICH, THE WAY HE HANDLED THE CORONAVIRUS IS OUTRAGEOUS//",CORONAQ VIRUS//
7. Strong Republican,450667,6. Conservative,44,NA,"Policy stance, appearance of incompetence and dementia as well as his running mate","Straight forward , agreement with policy, running mate and history as President and business man.",NA,Health
3. Independent-Democrat,450698,1. Extremely liberal,27,NA,"His record on criminal justice is awful. He does not support Medicare for all, he does not support the legalization and decriminalization of marijuana, and he will likely continue the legacy of US imperialism.",NA,"Donald Trump is a fascist who uses white supremacy to bolster his base and his popularity at the expense of immigrants, poor people, and people of color, and to the benefit of the wealthy.",NA
5. Independent-Republican,450728,5. Slightly conservative,25,Anything would be better than Trump,NA,NA,He is an idiot who has literally turned this country against itself.,"Racism, Sexism, inequality of people based on sexual preferences."
5. Independent-Republican,450797,6. Conservative,51,He supports abortionGay marriageshigher taxesillegal rights,everything he supports,pro lifeno illegal benefitssupports Israelreligious freedom,NA,people believing the lies that is being spewed
6. Not very strong Republican,450803,99. Haven't thought much about this,52,NA,he isnt competant,He is not a politician,NA,the economy I feel is being ruined by covid
5. Independent-Republican,450841,6. Conservative,73,NA,"he is personally incompetent and corrupt, and fronts for the Marxist/Antifa/Anarchist terrorist corrupt globalist elitist world government","He kept his word (unheard of for a professional politician)Act in accordance with Constitutional LawEqual opportunity for allFor the people of the US and the world/anti-globalist and corrupt elitistsRational and legal immigration, etc, etc, etc.",NA,election fraud.
4. Independent,450902,4. Moderate; middle of the road,35,"Experience. More importantly, not Trump.",NA,NA,"He is a liar, he isn't good at public speaking, cannot trust him.",the growing divide in partisan politics.  there doesnt seem to be much of a middle anymore.
-9. Refused,450933,99. Haven't thought much about this,43,NA,NA,NA,Who he is and what he stands for. His policies and his treatment of others.,Covid 19 and keeping humans safe
3. Independent-Democrat,450971,3. Slightly liberal,45,He is a moderate democrat and he seems to be more honest and mature than Donald Trump.  I hope that he will help to make the country less polarized.,I am about some of his economic policies and that he is central position seems to be that he is not Trump.,NA,His behavior over the last 4 years and during his previous campaign has completely turned me off to him.  I think he is dishonest and uses fear to create division within our country in hopes that this fear will inspire his base to continue to keep him in power.  He is a narcists who seems only to care about what is good for himself and only about those people who agree with him and support him.,Division- the country is too divided and each side only listens to its own side and hates those that disagree
1. Strong Democrat,450988,4. Moderate; middle of the road,-9. Refused,he is really gonna make america great again,NA,NA,I dont like the way he runs the white house,trump he is a lying
2. Not very strong Democrat,451028,1. Extremely liberal,27,NA,NA,NA,"Incompetent, compromised by a hostile foreign nation and does not have the interests of the average American at heart","Coronavirus (COVID-19), the impact of COVID and the pandemic on our lives and major life events, the economy and future recession, the civil unrest, racism and police brutality toward the black community in America, and climate change and wildfires in California."
5. Independent-Republican,451035,2. Liberal,27,NA,NA,I WANT TO VOTE FOR DONALD TRUMP BECAUSE HE IS A BETTER CANDIDATE THAN JOE BIDEN BECAUSE HE HAS INITIATED THE BORDER AND TRYING TO STOP IMMIGRATION FROM ALL OVER THE WORLD SO THAT THE US CITIZENS CAN HAVE JOBS. AND SO THAT THEIR TAXES ARE PAID TOWARD THEIR FUTURE AND NOT TOWARDS ILLEGAL IMMIGRANTS ON FOOD STAMPS AND UNEMPLOYMENT. I THINK ITS UNFAIR THAT THE US CITIZENS PAY TAXES AND THE IMMIGRANTS BENEFITING FROM IT BECAUSE ALOT OF THEM TAKE ADVANTAGE OF IT. ANOTHER REASON WHY I SUPPORT TRUMP IS BECAUSE HE CALLED THE TROOPS BACK.//,DONALD TRUMP BEING RACIST//,NA
7. Strong Republican,451042,7. Extremely conservative,37,NA,"He could not help President Obama fix the country, he is against clean energy, Obama care was a disaster, jobs were not created as what i would hope for under that administration. taxes were high. Gun control is a big issue for me.","Jobs were created, clean energy jobs were created. Taxes are lower, President Trump was ahead of the game when the pandemic hit. overall was very impressed with him. He tells it like it is and is not afraid to exposed the media who do not report on the positives.",NA,"Economy, Corona Virus"
7. Strong Republican,451059,7. Extremely conservative,52,Too old. I do not support his views.,Too old. I do not support his views.,NA,NA,"Black Lives Matter, Antifa and the radical left"
5. Independent-Republican,451066,6. Conservative,73,I f I was a liar or a thief and worked for China or the ucrain I would love him,"I have seen what he has done , He and his son belong in jail","He is not the usual runner.  He did , so far, what he said he would do. Cirvid 19 has scewed thing up but thing were going very good",He says stupid thing that are not needed,"Lying Dems , lying press..Lying to just get voted in no matter what  Lets just be fare and just"
5. Independent-Republican,451073,5. Slightly conservative,40,NA,highly liberaldeteriorating mentallyLeftist puppetnothing compelling besides not being trump.,strong policies both fiscally and socially,"abrasive. while he policies are strong. his behaviors are presidential and extremely offputting typically i can overlook this, but hes on a new level of awful.","polarization, social program reform, policing, media fueled bias, infrastructure, energy"
2. Not very strong Democrat,451080,4. Moderate; middle of the road,69,Decent and caring man who will represent our USA with dignity!,NA,NA,needs to stop bullying individuals and act like a President,unity and being able to get away from 2 political parties
6. Not very strong Republican,451097,6. Conservative,-9. Refused,NA,"He’s a follower, not a leader.  He wants to raise taxes. He’s pro-choice.  The economy will crash under him.  He does not want local control. he doesn’t have rural AMerica in mind with the exception of expanding Internet services which Donald Trump wants to do also","Business man, does what he says, protects our borders, pro-life, for religious freedom",NA,Politicians unwillingness to work with the other side.  I wish that we had more politicians in the middle rather than the far right or left.
2. Not very strong Democrat,451134,2. Liberal,30,he is NOT donald trump,he is a dinosaur and out of touch with the youth that will eventually inherit this counrty,NA,he is a child that only likes the cheers of his followers.  He has made being a republican almost like being in a gang. republicans are deffending the party and this man blindly. republicans are more often than not violent and very outspoken about following trump to incite anger and violence amongs people because thats what trump has directed them to.,racism hate violence social inequality health care
2. Not very strong Democrat,451165,4. Moderate; middle of the road,26,"He is kind and compassionate, i’m not sure about how he would handle china. I do feel china has taken advantage of the United States under Obama. I do agree with what Donald Trump regarding China Trade, he just went about in the wrong way he fights with people like a child and i do beleive that why they destroyed our economy to pay Donald Trump back. This is why he cannot be re-elected.",NA,NA,"everthing about him he is a compulsive liar, he doe not care about anyone but himself. He wants me to send my kids to school when i know for a fact his child will never see a class room. he is a pathetic human being we do not have enough time or space. I absolutely despise Donald Trump and his family.","pandemic,financial,food, housing is way to high, health insurance."
2. Not very strong Democrat,451189,3. Slightly liberal,29,His stance on key issues fall in line with mine. Mainly he is not Donald Trump.,NA,NA,"He's a terrible person, candidate, and president. He has not done anything beneficial for our country and has destroyed progress in areas of clean energy andvancement, environmental protection, immigration, and women's rights.","women rights, racism, Climate change, and the supreme court"
2. Not very strong Democrat,451196,4. Moderate; middle of the road,51,NA,NA,NA,NA,NA
5. Independent-Republican,451202,5. Slightly conservative,57,NA,Biden has what is called Sundowers. I am not sure of who will be in charge.,He seems to know what he is doing. He can form a complete sentence.,NA,Election fraud.
4. Independent,451271,99. Haven't thought much about this,52,NA,NA,NA,NA,"People are not happy with our government. Homeless, economy,healthcare, and unity problems."
7. Strong Republican,451325,6. Conservative,75,NA,"too old, been in politics his whole life and gotten very rich by being a politician, do not trust him",he is not a politician and the economy is booming and he is shaking the government up,"talks or tweets before he thinks - in many ways acts like the major corporate CEO's i have know until the lawyers, and public relations people change them","people need to chill - way too extreme on some issues - market is good, gas is cheap, we are not in an active war - COVID is bad but we are doing the best we can"
1. Strong Democrat,451332,2. Liberal,25,I believe that the current administration supports a lot of hatee groups and with Joe Biden in office he can possibly Bly change the way the country is going,NA,NA,"Hes not qualified to be president, lies on national television, openly racist",N/A..... N/A
5. Independent-Republican,451356,99. Haven't thought much about this,-9. Refused,NA,NA,NA,NA,covid-19 in the Socialist movement
6. Not very strong Republican,451370,4. Moderate; middle of the road,48,He is not Donald Trump.,Worried he is not capable of doing the job.,NA,"He is a liar, racist, sexist, pedophile.","divisiveness. Our elected officials, pander to their political parties and refuse to vote for what is best for the our country as a whole."
1. Strong Democrat,451424,2. Liberal,30,NA,NA,NA,NA,One of the major problems is racism and religious differentiation.
6. Not very strong Republican,451578,99. Haven't thought much about this,25,NA,NA,his leadership and how he's for the people,NA,NA
1. Strong Democrat,451585,4. Moderate; middle of the road,39,He Simplifies Great Character for people and moral for the Americans.,NA,NA,Mr.Trump is rude and not professional at all,intergrity and leadership
3. Independent-Democrat,451608,2. Liberal,21,Andrew Yang endorsement.,Policy disagreements.,NA,Handling of COVID-19 pandemic.,"Coronavirus response, financial aid from Congress"
4. Independent,451622,99. Haven't thought much about this,32,NA,NA,NA,NA,economic hardship
1. Strong Democrat,451639,3. Slightly liberal,30,I agree with his political views.,NA,I do not agree with his views and I do not think he is a proper leader.,I do not agree with his policital views.,RacismGender equalityCovid-19
4. Independent,451646,99. Haven't thought much about this,52,his personality how he is he is really transparent  not like trump how he is really a show off //,NA,NA,He is a racist against mexicans //,NA
1. Strong Democrat,451653,2. Liberal,65,NA,NA,NA,he lies  and is dishonest and incompetant.,Getting rid of Covid
3. Independent-Democrat,451684,4. Moderate; middle of the road,63,Experience of being Vice President,NA,"Self centered, ego, does not listen to experience and specialist people. He lies when the truth is on video. He is racist, and he plays what ever side will give him the most votes or money. He has used his family businesses for government functions. He has yet to turn over his taxes. He thinks he knows about the Corvid virus.",What I just said previous,"We are a seriously divided country. Our political parties no longer represent the people. One party in particular is very much out of touch with the average voter. They no longer listen to whom they represent. Out of state funding is buying our officials.When the popular vote is won by a particular individual, they should hold the office. Not courts and frivolous lawsuits.Our immigration policies need reviewing and updating. Violent offenders should not be allowed to stay or enter.Healthcare needs to be driven more for the people and less for the insurance companies."
4. Independent,451707,4. Moderate; middle of the road,38,He's not Trump and seems more likely to build bridges between both parties instead of tearing them down.,Becoming more pro-abortion,NA,"He corrupt, morally bankrupt, incompetent, contentious, hateful, and egotistical.",Covid-19 is overwhelming hospitals and hurting the economy.
4. Independent,451721,4. Moderate; middle of the road,56,I think he is sincere about doing what's right for America.,He is a career politician.,He's a business man that is not a career politician.,He's spends too much time on Twitter and has not done a good job of uniting the country.,COVID pandemic was mishandled and now many people are dying
1. Strong Democrat,451738,2. Liberal,73,Has experience controlling pandemics and all other aspects of how govrenment is run. Seems like a caring person. Many of his peers say good things about his honesty and compassion for other's plights in life. Comes from a middle class background so knows what it was to struggle when he was younger. Seems to understand cause & effect connections (ie withdraw from Iran deal/ now no say on Iran's nuclear advancements; Trump seems surprised he is being ignored),NA,NA,"Racist, authoritarian/ fascist ideas, manipulator to his benefit, criminal mentality, not trustworthy, does not follow the governing laws, lies all the time, disregards peoples opinions and lawful rights, defies Supreme Court rulings if not in his favor, just refuses to follow any law he doesn't like. Does whatever he wants to whatever the consequences to anyone else. He does not even take the effects his decisions have on his own rural supporters.  Expects fawning loyalty from everyone.","Minority trying to impose their ideals on the majority; the disinformation that is taken as truth which leads to an uninformed electorate; misunderstanding of terms i.e.   socialism, democracy, fascism, etc."
5. Independent-Republican,451752,5. Slightly conservative,34,he has a calming presents and isnt on twitter talking shit constantly,he maybe dying or mentally ill,i think he is good at his job.has an cocky attitude and a commanding presents,he never shuts up! and has not crushed this rebellion.,unity and being an adult able to respect other opinions
2. Not very strong Democrat,451769,6. Conservative,56,I think he is more of a people's person. and because of his association with Barack Obama.  I think America stands a chance of g3etting back a little bit of the respect from what we've lost being under Donald Trump.//,"We can't vote for crazy Kanye.  If there was ANOTHER candidate I might think about them, but we're stuck with Joe.",NA,"I just don't like his views on a lot of stuff; he's very childish. I don't dislike the man but I  don't like his morals. It's ...he's just very disrespectful.  I doni't even care about people saying he's racist, its just that he's very disrespectful. and because of that America became a laughingstock to the world.  People lose all respect for America because of the leader we have in charge. I know that we Black people can be racist, too.  It's just that he's..he's crazy.//",NA
6. Not very strong Republican,451783,6. Conservative,38,He's not Donald Trump.,He is democrat and I don't agree with many of their liberal policies.,He has actually taken some great steps to strengthen the US economy and strengthen our worldwide positioning.,"He is not a good person.  He has little to no morals, he is racist, he encourages violence.  Basically, as a person, he is unbecoming of the office he holds.",COVID-19 response and effect on economy
7. Strong Republican,451790,6. Conservative,61,NA,Big goverment & way too old,"2nd Ammedment, pro-business & less goverment",NA,Pandemic that is keeping everyone from normal life.
6. Not very strong Republican,451806,3. Slightly liberal,75,NA,i dont think he is capable,all his acomplishments he has done the last 4 years,his personality,covid and way US is so devided on this!
2. Not very strong Democrat,451912,3. Slightly liberal,42,he isnt trump that is it,NA,NA,"his lack of competence, high level of corruption and lack of moral character","Ignorance, and people’s ability to find “proof” of their  silly beliefs on the Internet giving it validity."
7. Strong Republican,451929,6. Conservative,59,NA,"He doesnt seem to understand whats going on around him, not really saying anything of value, nothing he says is believeable","He has done everything that he said he was going to do for everyone, could have done more if people would leave him alone",NA,"Economy, violence, hatred, healthcare, education"
4. Independent,451974,4. Moderate; middle of the road,61,NA,NA,NA,NA,"climate, pandemic, economy, help for americans"
7. Strong Republican,452014,4. Moderate; middle of the road,38,NA,He cant remember anything and he is too touchywith people. yuck,He is for the average american worker.,NA,we are importing food and not using what we grow here in the u.s.
