,age_group,partyid_3cat,libcon,trump_therm,harris_therm
2870,18-24,Democrat,4. Moderate; middle of the road,0.0,60.0
2872,35-44,Republican,5. Slightly conservative,30.0,1.0
2877,25-34,Democrat,3. Slightly liberal,0.0,70.0
2878,35-44,Independent,4. Moderate; middle of the road,50.0,100.0
2879,45-54,Republican,5. Slightly conservative,100.0,0.0
2880,35-44,Republican,6. Conservative,100.0,0.0
2881,25-34,Democrat,2. Liberal,50.0,85.0
2882,25-34,Democrat,3. Slightly liberal,15.0,85.0
2883,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
2884,55-64,Democrat,3. Slightly liberal,0.0,15.0
2885,35-44,Republican,5. Slightly conservative,65.0,0.0
2887,35-44,Republican,6. Conservative,85.0,30.0
2888,18-24,Democrat,1. Extremely liberal,0.0,60.0
2890,35-44,Republican,5. Slightly conservative,70.0,30.0
2893,55-64,Republican,7. Extremely conservative,100.0,0.0
2894,55-64,Republican,6. Conservative,90.0,30.0
2895,35-44,Democrat,2. Liberal,15.0,40.0
2896,55-64,Democrat,1. Extremely liberal,0.0,95.0
2899,45-54,Democrat,2. Liberal,0.0,70.0
2901,55-64,Democrat,1. Extremely liberal,0.0,90.0
2902,45-54,Republican,6. Conservative,70.0,0.0
2904,45-54,Republican,4. Moderate; middle of the road,0.0,85.0
2908,25-34,Republican,6. Conservative,100.0,0.0
2911,25-34,Republican,6. Conservative,100.0,0.0
2914,45-54,Democrat,2. Liberal,0.0,75.0
2916,55-64,Independent,4. Moderate; middle of the road,0.0,30.0
2917,18-24,Republican,6. Conservative,90.0,0.0
2918,25-34,Republican,4. Moderate; middle of the road,60.0,20.0
2919,35-44,Independent,4. Moderate; middle of the road,75.0,0.0
2920,18-24,Republican,4. Moderate; middle of the road,60.0,30.0
2923,45-54,Democrat,4. Moderate; middle of the road,15.0,50.0
2925,35-44,Republican,6. Conservative,0.0,15.0
2930,45-54,Democrat,1. Extremely liberal,0.0,100.0
2931,18-24,Democrat,3. Slightly liberal,0.0,77.0
2932,45-54,Republican,4. Moderate; middle of the road,75.0,0.0
2934,35-44,Republican,6. Conservative,85.0,0.0
2935,45-54,Democrat,3. Slightly liberal,20.0,70.0
2939,25-34,Republican,7. Extremely conservative,87.0,1.0
2940,35-44,Democrat,3. Slightly liberal,0.0,85.0
2942,45-54,Democrat,4. Moderate; middle of the road,15.0,60.0
2943,35-44,Republican,5. Slightly conservative,55.0,40.0
2944,55-64,Republican,6. Conservative,45.0,50.0
2946,65+,Republican,4. Moderate; middle of the road,15.0,50.0
2947,55-64,Republican,6. Conservative,85.0,15.0
2953,55-64,Republican,4. Moderate; middle of the road,70.0,0.0
2955,45-54,Republican,4. Moderate; middle of the road,100.0,0.0
2957,55-64,Republican,6. Conservative,85.0,0.0
2960,45-54,Democrat,4. Moderate; middle of the road,50.0,50.0
2962,35-44,Republican,5. Slightly conservative,70.0,20.0
2963,55-64,Independent,6. Conservative,30.0,30.0
2966,55-64,Republican,5. Slightly conservative,85.0,0.0
2967,25-34,Republican,5. Slightly conservative,100.0,0.0
2971,55-64,Republican,7. Extremely conservative,85.0,5.0
2972,55-64,Republican,6. Conservative,85.0,0.0
2974,45-54,Republican,6. Conservative,60.0,30.0
2975,55-64,Republican,7. Extremely conservative,90.0,50.0
2977,55-64,Independent,5. Slightly conservative,85.0,0.0
2978,25-34,Republican,7. Extremely conservative,95.0,0.0
2981,25-34,Democrat,2. Liberal,0.0,100.0
2985,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
2989,35-44,Republican,4. Moderate; middle of the road,60.0,15.0
2997,55-64,Republican,6. Conservative,85.0,10.0
2998,18-24,Republican,7. Extremely conservative,100.0,0.0
3002,45-54,Republican,6. Conservative,100.0,0.0
3005,35-44,Republican,5. Slightly conservative,60.0,15.0
3006,25-34,Republican,4. Moderate; middle of the road,60.0,50.0
3009,25-34,Democrat,4. Moderate; middle of the road,0.0,100.0
3010,25-34,Republican,6. Conservative,85.0,0.0
3011,55-64,Democrat,4. Moderate; middle of the road,0.0,60.0
3014,25-34,Republican,3. Slightly liberal,50.0,75.0
3016,25-34,Republican,2. Liberal,85.0,60.0
3019,55-64,Republican,6. Conservative,100.0,0.0
3021,25-34,Democrat,2. Liberal,0.0,85.0
3023,45-54,Republican,6. Conservative,100.0,0.0
3025,55-64,Democrat,5. Slightly conservative,0.0,100.0
3026,35-44,Democrat,3. Slightly liberal,70.0,15.0
3027,45-54,Republican,5. Slightly conservative,60.0,0.0
3028,45-54,Independent,4. Moderate; middle of the road,60.0,15.0
3030,35-44,Republican,5. Slightly conservative,60.0,40.0
3031,25-34,Republican,6. Conservative,90.0,0.0
3032,45-54,Republican,5. Slightly conservative,70.0,0.0
3034,45-54,Republican,6. Conservative,100.0,0.0
3036,45-54,Republican,7. Extremely conservative,100.0,0.0
3040,35-44,Republican,7. Extremely conservative,100.0,0.0
3042,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
3043,45-54,Democrat,4. Moderate; middle of the road,25.0,75.0
3048,65+,Democrat,2. Liberal,0.0,70.0
3050,45-54,Republican,4. Moderate; middle of the road,70.0,15.0
3054,18-24,Republican,4. Moderate; middle of the road,50.0,0.0
3055,18-24,Republican,6. Conservative,70.0,45.0
3058,18-24,Independent,4. Moderate; middle of the road,0.0,0.0
3060,55-64,Republican,6. Conservative,30.0,40.0
3061,55-64,Republican,4. Moderate; middle of the road,15.0,60.0
3063,45-54,Democrat,3. Slightly liberal,15.0,65.0
3065,35-44,Republican,4. Moderate; middle of the road,75.0,30.0
3066,35-44,Republican,5. Slightly conservative,70.0,0.0
3069,55-64,Republican,7. Extremely conservative,100.0,0.0
3070,45-54,Democrat,3. Slightly liberal,15.0,75.0
3072,18-24,Republican,7. Extremely conservative,100.0,0.0
3074,45-54,Republican,6. Conservative,100.0,0.0
3076,45-54,Republican,6. Conservative,85.0,0.0
3077,45-54,Republican,5. Slightly conservative,95.0,15.0
3078,55-64,Republican,6. Conservative,100.0,0.0
3082,35-44,Republican,6. Conservative,100.0,10.0
3083,45-54,Republican,6. Conservative,100.0,0.0
3084,35-44,Republican,6. Conservative,70.0,0.0
3085,35-44,Republican,6. Conservative,70.0,0.0
3086,45-54,Republican,6. Conservative,70.0,0.0
3087,45-54,Republican,6. Conservative,95.0,0.0
3088,18-24,Republican,7. Extremely conservative,95.0,0.0
3090,65+,Republican,6. Conservative,85.0,0.0
3091,25-34,Republican,5. Slightly conservative,60.0,15.0
3093,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
3095,35-44,Democrat,2. Liberal,0.0,70.0
3097,35-44,Republican,5. Slightly conservative,99.0,5.0
3098,25-34,Republican,4. Moderate; middle of the road,30.0,70.0
3099,25-34,Democrat,3. Slightly liberal,0.0,70.0
3101,55-64,Republican,6. Conservative,85.0,15.0
3102,18-24,Republican,7. Extremely conservative,70.0,0.0
3105,25-34,Republican,4. Moderate; middle of the road,90.0,2.0
3106,18-24,Democrat,3. Slightly liberal,0.0,75.0
3109,45-54,Republican,6. Conservative,30.0,15.0
3111,25-34,Independent,4. Moderate; middle of the road,60.0,15.0
3116,55-64,Democrat,1. Extremely liberal,0.0,100.0
3117,55-64,Democrat,1. Extremely liberal,0.0,100.0
3119,25-34,Democrat,3. Slightly liberal,10.0,40.0
3125,35-44,Republican,6. Conservative,85.0,0.0
3127,35-44,Republican,7. Extremely conservative,100.0,0.0
3128,55-64,Democrat,3. Slightly liberal,0.0,100.0
3130,35-44,Democrat,4. Moderate; middle of the road,0.0,100.0
3132,35-44,Democrat,1. Extremely liberal,60.0,50.0
3134,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
3135,35-44,Independent,4. Moderate; middle of the road,0.0,85.0
3137,35-44,Democrat,3. Slightly liberal,15.0,60.0
3139,35-44,Republican,6. Conservative,60.0,60.0
3141,35-44,Democrat,6. Conservative,50.0,100.0
3143,35-44,Democrat,2. Liberal,25.0,75.0
3145,25-34,Democrat,4. Moderate; middle of the road,50.0,50.0
3146,55-64,Republican,4. Moderate; middle of the road,45.0,35.0
3147,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
3151,55-64,Democrat,2. Liberal,0.0,100.0
3152,35-44,Democrat,4. Moderate; middle of the road,0.0,60.0
3154,55-64,Democrat,4. Moderate; middle of the road,0.0,85.0
3155,25-34,Republican,6. Conservative,100.0,0.0
3156,18-24,Republican,7. Extremely conservative,100.0,0.0
3158,25-34,Republican,6. Conservative,80.0,0.0
3159,45-54,Democrat,4. Moderate; middle of the road,100.0,50.0
3161,35-44,Democrat,3. Slightly liberal,0.0,90.0
3162,35-44,Democrat,2. Liberal,0.0,75.0
3163,25-34,Republican,6. Conservative,85.0,0.0
3164,35-44,Republican,3. Slightly liberal,0.0,85.0
3167,55-64,Republican,6. Conservative,85.0,0.0
3171,65+,Republican,6. Conservative,85.0,15.0
3172,45-54,Democrat,1. Extremely liberal,0.0,100.0
3173,18-24,Democrat,1. Extremely liberal,0.0,70.0
3174,25-34,Democrat,4. Moderate; middle of the road,0.0,85.0
3175,35-44,Republican,5. Slightly conservative,85.0,0.0
3177,35-44,Republican,1. Extremely liberal,70.0,60.0
3178,25-34,Independent,4. Moderate; middle of the road,50.0,50.0
3180,25-34,Republican,7. Extremely conservative,100.0,0.0
3181,25-34,Democrat,3. Slightly liberal,0.0,60.0
3182,25-34,Democrat,4. Moderate; middle of the road,100.0,15.0
3183,25-34,Republican,5. Slightly conservative,60.0,40.0
3184,25-34,Democrat,5. Slightly conservative,0.0,100.0
3185,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
3186,55-64,Democrat,3. Slightly liberal,0.0,100.0
3190,25-34,Democrat,2. Liberal,0.0,85.0
3191,55-64,Democrat,2. Liberal,0.0,100.0
3193,25-34,Democrat,2. Liberal,0.0,70.0
3194,25-34,Republican,6. Conservative,85.0,15.0
3195,45-54,Democrat,4. Moderate; middle of the road,15.0,60.0
3197,55-64,Democrat,2. Liberal,30.0,85.0
3198,18-24,Independent,4. Moderate; middle of the road,70.0,70.0
3200,25-34,Independent,3. Slightly liberal,60.0,40.0
3201,25-34,Democrat,4. Moderate; middle of the road,40.0,60.0
3203,45-54,Republican,5. Slightly conservative,100.0,0.0
3204,35-44,Republican,6. Conservative,100.0,15.0
3205,35-44,Independent,4. Moderate; middle of the road,0.0,60.0
3206,45-54,Democrat,4. Moderate; middle of the road,70.0,15.0
3208,25-34,Democrat,2. Liberal,0.0,70.0
3212,55-64,Democrat,2. Liberal,0.0,85.0
3214,35-44,Republican,5. Slightly conservative,10.0,70.0
3215,25-34,Democrat,3. Slightly liberal,0.0,75.0
3217,45-54,Democrat,2. Liberal,40.0,70.0
3219,25-34,Republican,5. Slightly conservative,50.0,60.0
3220,18-24,Republican,5. Slightly conservative,85.0,15.0
3221,35-44,Democrat,3. Slightly liberal,40.0,40.0
3222,65+,Democrat,3. Slightly liberal,0.0,85.0
3223,55-64,Republican,4. Moderate; middle of the road,15.0,85.0
3226,45-54,Democrat,3. Slightly liberal,60.0,85.0
3227,35-44,Democrat,2. Liberal,0.0,100.0
3229,25-34,Democrat,3. Slightly liberal,0.0,70.0
3230,25-34,Democrat,3. Slightly liberal,15.0,70.0
3233,55-64,Republican,3. Slightly liberal,70.0,15.0
3236,55-64,Democrat,2. Liberal,0.0,80.0
3237,45-54,Democrat,3. Slightly liberal,0.0,100.0
3238,25-34,Democrat,2. Liberal,0.0,85.0
3239,35-44,Democrat,1. Extremely liberal,0.0,75.0
3240,25-34,Democrat,2. Liberal,0.0,70.0
3241,55-64,Democrat,4. Moderate; middle of the road,30.0,60.0
3243,35-44,Democrat,4. Moderate; middle of the road,40.0,60.0
3244,45-54,Democrat,2. Liberal,0.0,100.0
3246,35-44,Democrat,3. Slightly liberal,0.0,85.0
3247,25-34,Democrat,2. Liberal,10.0,85.0
3249,18-24,Democrat,2. Liberal,15.0,60.0
3250,25-34,Democrat,2. Liberal,0.0,85.0
3251,35-44,Republican,2. Liberal,90.0,0.0
3254,55-64,Democrat,4. Moderate; middle of the road,70.0,50.0
3256,35-44,Democrat,4. Moderate; middle of the road,2.0,70.0
3261,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
3263,35-44,Democrat,5. Slightly conservative,15.0,60.0
3264,45-54,Republican,6. Conservative,100.0,15.0
3265,55-64,Democrat,3. Slightly liberal,0.0,90.0
3270,35-44,Republican,5. Slightly conservative,70.0,30.0
3274,25-34,Independent,4. Moderate; middle of the road,50.0,30.0
3279,55-64,Democrat,4. Moderate; middle of the road,40.0,85.0
3283,35-44,Democrat,4. Moderate; middle of the road,30.0,50.0
3284,35-44,Republican,4. Moderate; middle of the road,20.0,60.0
3285,35-44,Democrat,4. Moderate; middle of the road,0.0,0.0
3287,45-54,Democrat,2. Liberal,50.0,100.0
3288,35-44,Democrat,4. Moderate; middle of the road,70.0,85.0
3290,55-64,Republican,5. Slightly conservative,100.0,0.0
3292,45-54,Democrat,7. Extremely conservative,0.0,100.0
3293,55-64,Democrat,4. Moderate; middle of the road,15.0,70.0
3298,45-54,Democrat,2. Liberal,0.0,80.0
3300,18-24,Democrat,4. Moderate; middle of the road,0.0,85.0
3301,55-64,Independent,4. Moderate; middle of the road,85.0,60.0
3302,25-34,Democrat,4. Moderate; middle of the road,0.0,70.0
3303,55-64,Republican,5. Slightly conservative,50.0,50.0
3304,55-64,Republican,7. Extremely conservative,100.0,0.0
3306,35-44,Democrat,3. Slightly liberal,50.0,60.0
3308,18-24,Democrat,2. Liberal,5.0,80.0
3310,55-64,Democrat,4. Moderate; middle of the road,15.0,100.0
3313,18-24,Democrat,4. Moderate; middle of the road,0.0,80.0
3314,45-54,Democrat,7. Extremely conservative,100.0,100.0
3315,35-44,Republican,7. Extremely conservative,85.0,15.0
3316,18-24,Democrat,3. Slightly liberal,30.0,70.0
3323,35-44,Independent,4. Moderate; middle of the road,20.0,70.0
3325,35-44,Republican,2. Liberal,50.0,50.0
3326,25-34,Independent,5. Slightly conservative,40.0,40.0
3328,25-34,Republican,6. Conservative,60.0,0.0
3330,25-34,Independent,4. Moderate; middle of the road,10.0,60.0
3331,35-44,Republican,7. Extremely conservative,85.0,0.0
3332,18-24,Republican,5. Slightly conservative,70.0,15.0
3333,55-64,Republican,5. Slightly conservative,85.0,15.0
3335,25-34,Republican,5. Slightly conservative,15.0,40.0
3337,55-64,Democrat,6. Conservative,50.0,100.0
3340,25-34,Republican,2. Liberal,100.0,0.0
3341,45-54,Democrat,3. Slightly liberal,0.0,75.0
3343,45-54,Democrat,2. Liberal,15.0,85.0
3344,35-44,Democrat,3. Slightly liberal,15.0,70.0
3347,55-64,Republican,6. Conservative,90.0,0.0
3352,55-64,Republican,6. Conservative,60.0,0.0
3353,55-64,Republican,6. Conservative,85.0,0.0
3355,55-64,Democrat,2. Liberal,15.0,70.0
3356,55-64,Republican,5. Slightly conservative,50.0,50.0
3360,55-64,Democrat,1. Extremely liberal,0.0,100.0
3364,45-54,Democrat,3. Slightly liberal,45.0,60.0
3365,35-44,Democrat,1. Extremely liberal,0.0,70.0
3366,45-54,Democrat,1. Extremely liberal,0.0,100.0
3368,25-34,Democrat,2. Liberal,1.0,75.0
3369,55-64,Republican,5. Slightly conservative,85.0,30.0
3372,45-54,Democrat,6. Conservative,0.0,60.0
3374,35-44,Republican,6. Conservative,75.0,35.0
3379,45-54,Independent,4. Moderate; middle of the road,30.0,30.0
3383,25-34,Democrat,4. Moderate; middle of the road,60.0,50.0
3385,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
3386,25-34,Republican,6. Conservative,100.0,0.0
3387,25-34,Republican,6. Conservative,85.0,0.0
3388,45-54,Democrat,1. Extremely liberal,15.0,85.0
3392,25-34,Democrat,3. Slightly liberal,0.0,90.0
3394,35-44,Independent,4. Moderate; middle of the road,0.0,50.0
3395,55-64,Democrat,5. Slightly conservative,70.0,15.0
3396,35-44,Republican,6. Conservative,70.0,0.0
3397,25-34,Democrat,4. Moderate; middle of the road,15.0,100.0
3398,25-34,Democrat,1. Extremely liberal,0.0,73.0
3400,55-64,Democrat,2. Liberal,0.0,100.0
3405,55-64,Republican,6. Conservative,60.0,15.0
3406,18-24,Democrat,3. Slightly liberal,0.0,100.0
3408,55-64,Democrat,5. Slightly conservative,0.0,75.0
3410,35-44,Democrat,3. Slightly liberal,0.0,85.0
3416,45-54,Republican,4. Moderate; middle of the road,100.0,0.0
3422,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
3423,45-54,Democrat,2. Liberal,0.0,85.0
3424,35-44,Democrat,2. Liberal,0.0,90.0
3432,55-64,Democrat,3. Slightly liberal,0.0,100.0
3434,35-44,Democrat,2. Liberal,15.0,90.0
3435,45-54,Democrat,3. Slightly liberal,0.0,80.0
3436,45-54,Democrat,3. Slightly liberal,2.0,85.0
3438,45-54,Republican,5. Slightly conservative,75.0,30.0
3440,55-64,Democrat,5. Slightly conservative,30.0,60.0
3447,55-64,Republican,5. Slightly conservative,100.0,15.0
3448,35-44,Republican,7. Extremely conservative,99.0,0.0
3450,25-34,Democrat,3. Slightly liberal,15.0,85.0
3451,45-54,Democrat,1. Extremely liberal,0.0,100.0
3454,25-34,Democrat,4. Moderate; middle of the road,0.0,95.0
3456,35-44,Democrat,7. Extremely conservative,0.0,0.0
3457,25-34,Democrat,2. Liberal,15.0,100.0
3459,25-34,Independent,4. Moderate; middle of the road,100.0,0.0
3466,35-44,Democrat,3. Slightly liberal,0.0,60.0
3467,45-54,Democrat,1. Extremely liberal,0.0,85.0
3471,35-44,Democrat,1. Extremely liberal,50.0,100.0
3472,45-54,Democrat,2. Liberal,0.0,85.0
3474,55-64,Democrat,4. Moderate; middle of the road,30.0,99.0
3477,25-34,Democrat,1. Extremely liberal,0.0,5.0
3481,55-64,Republican,7. Extremely conservative,100.0,0.0
3484,55-64,Republican,6. Conservative,90.0,0.0
3486,55-64,Republican,6. Conservative,100.0,0.0
3490,25-34,Republican,5. Slightly conservative,70.0,5.0
3491,35-44,Democrat,2. Liberal,0.0,85.0
3496,35-44,Democrat,4. Moderate; middle of the road,40.0,40.0
3501,35-44,Republican,6. Conservative,70.0,0.0
3503,35-44,Independent,4. Moderate; middle of the road,15.0,50.0
3506,55-64,Republican,5. Slightly conservative,85.0,0.0
3508,55-64,Republican,7. Extremely conservative,100.0,0.0
3511,45-54,Independent,4. Moderate; middle of the road,50.0,50.0
3514,35-44,Democrat,4. Moderate; middle of the road,30.0,100.0
3515,25-34,Republican,3. Slightly liberal,70.0,60.0
3516,25-34,Democrat,2. Liberal,0.0,85.0
3517,45-54,Republican,1. Extremely liberal,70.0,0.0
3518,35-44,Democrat,5. Slightly conservative,85.0,0.0
3524,55-64,Republican,4. Moderate; middle of the road,100.0,0.0
3525,35-44,Republican,5. Slightly conservative,50.0,0.0
3526,45-54,Democrat,2. Liberal,0.0,80.0
3532,45-54,Independent,3. Slightly liberal,60.0,50.0
3536,45-54,Democrat,4. Moderate; middle of the road,15.0,40.0
3540,55-64,Republican,6. Conservative,100.0,0.0
3541,35-44,Republican,4. Moderate; middle of the road,100.0,0.0
3542,55-64,Republican,6. Conservative,100.0,0.0
3543,18-24,Republican,6. Conservative,80.0,5.0
3545,35-44,Republican,6. Conservative,85.0,0.0
3547,55-64,Republican,7. Extremely conservative,100.0,0.0
3549,35-44,Democrat,1. Extremely liberal,0.0,60.0
3558,35-44,Republican,6. Conservative,100.0,0.0
3559,18-24,Democrat,4. Moderate; middle of the road,50.0,40.0
3561,35-44,Republican,2. Liberal,85.0,15.0
3564,35-44,Democrat,4. Moderate; middle of the road,0.0,30.0
3566,55-64,Republican,6. Conservative,90.0,15.0
3570,45-54,Republican,7. Extremely conservative,90.0,5.0
3573,18-24,Democrat,1. Extremely liberal,0.0,70.0
3575,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
3576,25-34,Democrat,3. Slightly liberal,60.0,30.0
3580,35-44,Democrat,2. Liberal,60.0,0.0
3585,25-34,Republican,5. Slightly conservative,70.0,0.0
3586,45-54,Democrat,2. Liberal,15.0,85.0
3589,35-44,Republican,6. Conservative,60.0,15.0
3590,35-44,Republican,4. Moderate; middle of the road,15.0,50.0
3592,18-24,Democrat,1. Extremely liberal,70.0,85.0
3594,55-64,Democrat,2. Liberal,0.0,70.0
3595,35-44,Democrat,5. Slightly conservative,0.0,60.0
3597,55-64,Democrat,4. Moderate; middle of the road,0.0,10.0
3598,35-44,Democrat,1. Extremely liberal,0.0,85.0
3599,35-44,Independent,4. Moderate; middle of the road,75.0,60.0
3602,25-34,Republican,4. Moderate; middle of the road,85.0,15.0
3606,18-24,Independent,4. Moderate; middle of the road,70.0,70.0
3607,25-34,Independent,4. Moderate; middle of the road,0.0,0.0
3608,45-54,Republican,6. Conservative,60.0,0.0
3610,45-54,Republican,6. Conservative,60.0,15.0
3617,55-64,Democrat,1. Extremely liberal,0.0,100.0
3619,45-54,Democrat,3. Slightly liberal,30.0,40.0
3621,45-54,Democrat,2. Liberal,0.0,85.0
3625,55-64,Republican,4. Moderate; middle of the road,100.0,0.0
3630,45-54,Republican,7. Extremely conservative,100.0,0.0
3633,55-64,Republican,6. Conservative,100.0,0.0
3639,45-54,Democrat,1. Extremely liberal,0.0,100.0
3641,35-44,Republican,7. Extremely conservative,100.0,0.0
3644,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
3647,25-34,Democrat,4. Moderate; middle of the road,100.0,0.0
3648,25-34,Democrat,2. Liberal,0.0,70.0
3652,45-54,Republican,6. Conservative,100.0,0.0
3653,55-64,Republican,3. Slightly liberal,70.0,30.0
3654,18-24,Democrat,2. Liberal,30.0,50.0
3655,18-24,Democrat,3. Slightly liberal,0.0,85.0
3657,45-54,Independent,5. Slightly conservative,70.0,50.0
3660,25-34,Democrat,3. Slightly liberal,0.0,70.0
3663,35-44,Republican,6. Conservative,85.0,0.0
3664,35-44,Democrat,3. Slightly liberal,70.0,15.0
3669,25-34,Democrat,2. Liberal,60.0,100.0
3672,35-44,Republican,5. Slightly conservative,100.0,0.0
3673,55-64,Republican,7. Extremely conservative,100.0,0.0
3674,55-64,Republican,6. Conservative,90.0,0.0
3676,45-54,Democrat,4. Moderate; middle of the road,15.0,60.0
3678,45-54,Republican,7. Extremely conservative,100.0,0.0
3681,35-44,Republican,5. Slightly conservative,100.0,40.0
3682,55-64,Democrat,2. Liberal,40.0,100.0
3685,55-64,Democrat,3. Slightly liberal,0.0,80.0
3686,35-44,Republican,5. Slightly conservative,40.0,30.0
3688,55-64,Democrat,4. Moderate; middle of the road,0.0,65.0
3691,55-64,Democrat,4. Moderate; middle of the road,0.0,60.0
3693,35-44,Republican,7. Extremely conservative,100.0,0.0
3696,25-34,Republican,6. Conservative,80.0,0.0
3698,45-54,Independent,4. Moderate; middle of the road,60.0,50.0
3704,55-64,Independent,4. Moderate; middle of the road,40.0,70.0
3705,18-24,Independent,7. Extremely conservative,100.0,0.0
3709,45-54,Republican,5. Slightly conservative,85.0,0.0
3710,35-44,Independent,5. Slightly conservative,0.0,0.0
3711,18-24,Democrat,3. Slightly liberal,0.0,76.0
3713,55-64,Republican,5. Slightly conservative,50.0,10.0
3716,35-44,Republican,6. Conservative,100.0,50.0
3720,45-54,Republican,5. Slightly conservative,85.0,15.0
3722,35-44,Republican,5. Slightly conservative,15.0,15.0
3724,25-34,Republican,7. Extremely conservative,85.0,0.0
3726,35-44,Republican,5. Slightly conservative,80.0,40.0
3728,45-54,Republican,6. Conservative,100.0,15.0
3731,55-64,Democrat,3. Slightly liberal,0.0,85.0
3732,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
3735,25-34,Republican,5. Slightly conservative,15.0,25.0
3737,35-44,Republican,5. Slightly conservative,15.0,15.0
3738,55-64,Republican,6. Conservative,85.0,0.0
3744,65+,Republican,6. Conservative,80.0,15.0
3745,55-64,Republican,6. Conservative,85.0,0.0
3746,35-44,Republican,7. Extremely conservative,100.0,0.0
3747,55-64,Republican,6. Conservative,100.0,0.0
3748,55-64,Republican,4. Moderate; middle of the road,70.0,30.0
3750,55-64,Republican,6. Conservative,70.0,30.0
3752,45-54,Independent,4. Moderate; middle of the road,50.0,50.0
3753,35-44,Republican,4. Moderate; middle of the road,0.0,100.0
3755,25-34,Republican,4. Moderate; middle of the road,85.0,0.0
3760,55-64,Republican,6. Conservative,100.0,0.0
3761,35-44,Democrat,2. Liberal,15.0,85.0
3762,18-24,Democrat,2. Liberal,15.0,60.0
3763,35-44,Democrat,3. Slightly liberal,50.0,50.0
3764,45-54,Democrat,4. Moderate; middle of the road,0.0,90.0
3766,65+,Democrat,4. Moderate; middle of the road,15.0,70.0
3767,25-34,Democrat,3. Slightly liberal,0.0,100.0
3768,25-34,Democrat,2. Liberal,20.0,70.0
3769,55-64,Republican,6. Conservative,0.0,60.0
3770,25-34,Democrat,4. Moderate; middle of the road,75.0,30.0
3772,55-64,Republican,4. Moderate; middle of the road,85.0,40.0
3777,45-54,Independent,4. Moderate; middle of the road,60.0,0.0
3778,45-54,Republican,6. Conservative,60.0,30.0
3782,25-34,Democrat,1. Extremely liberal,0.0,60.0
3786,25-34,Republican,6. Conservative,100.0,0.0
3799,55-64,Republican,4. Moderate; middle of the road,40.0,30.0
3800,45-54,Republican,6. Conservative,100.0,0.0
3802,35-44,Democrat,4. Moderate; middle of the road,15.0,60.0
3803,55-64,Republican,4. Moderate; middle of the road,70.0,40.0
3806,35-44,Republican,6. Conservative,85.0,0.0
3808,18-24,Republican,7. Extremely conservative,75.0,0.0
3817,35-44,Democrat,4. Moderate; middle of the road,85.0,15.0
3823,25-34,Republican,4. Moderate; middle of the road,100.0,0.0
3824,45-54,Republican,4. Moderate; middle of the road,45.0,15.0
3827,25-34,Republican,5. Slightly conservative,85.0,30.0
3834,35-44,Republican,7. Extremely conservative,100.0,0.0
3835,55-64,Republican,3. Slightly liberal,85.0,0.0
3836,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
3837,35-44,Democrat,2. Liberal,0.0,85.0
3839,25-34,Republican,6. Conservative,95.0,15.0
3841,35-44,Republican,7. Extremely conservative,100.0,0.0
3843,45-54,Republican,4. Moderate; middle of the road,90.0,0.0
3845,18-24,Republican,7. Extremely conservative,70.0,0.0
3846,35-44,Independent,3. Slightly liberal,70.0,15.0
3848,45-54,Republican,6. Conservative,85.0,0.0
3854,45-54,Republican,7. Extremely conservative,100.0,0.0
3855,35-44,Republican,5. Slightly conservative,85.0,0.0
3857,55-64,Republican,7. Extremely conservative,50.0,0.0
3859,25-34,Republican,5. Slightly conservative,80.0,0.0
3861,18-24,Republican,4. Moderate; middle of the road,100.0,0.0
3862,55-64,Republican,7. Extremely conservative,96.0,1.0
3864,25-34,Republican,4. Moderate; middle of the road,70.0,70.0
3865,25-34,Republican,5. Slightly conservative,15.0,30.0
3871,25-34,Democrat,4. Moderate; middle of the road,40.0,85.0
3873,45-54,Republican,4. Moderate; middle of the road,70.0,30.0
3877,18-24,Republican,5. Slightly conservative,20.0,20.0
3878,25-34,Republican,4. Moderate; middle of the road,70.0,0.0
3880,45-54,Democrat,4. Moderate; middle of the road,0.0,30.0
3881,25-34,Republican,4. Moderate; middle of the road,50.0,50.0
3882,55-64,Republican,4. Moderate; middle of the road,85.0,30.0
3884,45-54,Republican,4. Moderate; middle of the road,85.0,15.0
3885,35-44,Republican,2. Liberal,100.0,15.0
3887,45-54,Democrat,4. Moderate; middle of the road,50.0,50.0
3889,45-54,Republican,6. Conservative,70.0,30.0
3894,18-24,Democrat,3. Slightly liberal,0.0,40.0
3898,55-64,Independent,4. Moderate; middle of the road,50.0,50.0
3901,45-54,Republican,2. Liberal,100.0,0.0
3903,45-54,Republican,6. Conservative,100.0,0.0
